"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000285048","IRF9","279.4","220.2","115.1","216.3","422.6","185.9","177.5","592.6","309.8","282.4","376","436.2"
"ENSG00000259529","AL136295.5","279.4","220.2","115.1","216.3","422.6","185.9","177.5","592.6","309.8","282.4","376","436.2"
"ENSG00000107560","RAB11FIP2","423.1","506.4","478.7","623.3","772.6","735.1","847.8","642.1","439.8","695.7","377","810.5"
"ENSG00000080371","RAB21","2697.1","2271.9","1422.5","1251","2118.3","1024.6","1716.4","1866.4","1465.9","1665.8","984.5","1703.9"
"ENSG00000163520","FBLN2","418.6","300.9","729.9","1403.5","2359.3","4329.5","4051.1","2919.1","3793.5","3402.3","4185.9","2371.6"
"ENSG00000178726","THBD","1392.4","632.9","1856.5","1320.1","242.9","671.7","465","319.3","3718.7","1788.5","106.3","235.8"
"ENSG00000166922","SCG5","39.9","65.8","62.7","6.3","1081.5","280.6","606","419.4","632.7","1415.8","244.6","983"
"ENSG00000277614","SCG5","39.9","65.8","62.7","6.3","1081.5","280.6","606","419.4","632.7","1415.8","244.6","983"
"ENSG00000281931","SCG5","39.9","65.8","62.7","6.3","1081.5","280.6","606","419.4","632.7","1415.8","244.6","983"
"ENSG00000167657","DAPK3","29.2","23.6","30.8","8.7","24","34.6","48.4","56.3","36.2","23.6","96.3","53.6"
"ENSG00000101443","WFDC2","52.4","162.6","49.4","50.2","74","44.3","60.9","18.2","38.3","24.6","59.7","58"
"ENSG00000085231","AK6","1940.9","1069.5","1423.8","1522.1","1548.1","1821.6","1951.1","1968.3","1745.2","1841.8","1267.5","1351.9"
"ENSG00000279247","AK6","1940.9","1069.5","1423.8","1522.1","1548.1","1821.6","1951.1","1968.3","1745.2","1841.8","1267.5","1351.9"
"ENSG00000037042","TUBG2","159.4","107.6","235.1","146.9","165.5","156.6","174.2","131.8","242.7","197.2","227.1","149.3"
"ENSG00000101333","PLCB4","111.8","66.8","305","424.9","559.3","530.1","702.5","475.8","193.9","268","555.7","587.8"
"ENSG00000102897","LYRM1","637.9","802","1053.3","733.9","1078.3","1430.8","1292.6","1137.9","914.4","1288.3","942.8","1414.7"
"ENSG00000241258","CRCP","334.4","123.3","300.5","181.2","186.1","205.6","107.3","215.2","284.1","130.9","241.5","132.2"
"ENSG00000249319","AC068533.4","174","130.1","141","199.6","121.1","142","129.5","104.1","251.3","189.7","115.2","174.6"
"ENSG00000198198","SZT2","28.1","92","55","71.2","25.3","43.9","61","30.1","68.3","77.9","67.1","57"
"ENSG00000100324","TAB1","47.6","83.4","83.9","48.3","54.7","73.6","148.2","69.3","57.9","110.2","52.3","120.1"
"ENSG00000089472","HEPH","57.9","22.6","4.1","6.8","44.4","30.8","25.6","45.1","20.7","2.7","1.6","7"
"ENSG00000085117","CD82","299.2","283.6","67.3","83.7","249.4","145.5","127.7","302.6","81.7","178.5","356.6","233"
"ENSG00000140694","PARN","1127.5","1201.4","1060.3","1091.4","1763.8","1095.1","839","1238.8","844.3","738.2","461.8","915.8"
"ENSG00000274829","PARN","1127.5","1201.4","1060.3","1091.4","1763.8","1095.1","839","1238.8","844.3","738.2","461.8","915.8"
"ENSG00000144711","IQSEC1","463.1","458.2","652.8","734.4","251","347.3","356.5","186.1","320.7","287.6","267.8","264.9"
"ENSG00000080493","SLC4A4","56.6","56.6","16.6","15.8","49","39.3","64","53","1.6","12.3","19.3","59.6"
"ENSG00000198689","SLC9A6","980.1","716.6","756.5","1110.9","932.4","971.2","965.3","856","720","1309.6","584.3","1039.9"
